Title,IMDB ID,Date of release,Genre1,Genre2,Genre3,Language,Actor1,Actor2,Actor3,Crew1,Crew2,Crew3,Plot summary,IMDB rating,IMDB votes,IMDB URL
Dhokha,1090650,2007,Action,Drama,Romance,Hindi,Muzamil Ibrahim,Tulip Joshi,Aushima Sawhney,NA,NA,NA,"Post-September 11, 2001, Zaid Ahmed Khan lives a wealthy lifestyle in Mumbai and resides in an apartment at Shanti Kutir, Juhu Tara Road, Mumbai, and works as an Assistant Commissioner of Police. He is of marriageable age, and his marriage is arranged with Sarha, who is the daughter of Parvez, sister of Dhanish, and grand-daughter of Saeed Noor Bux, who are based in Nasik. The two get married in Udaipur, and subsequently Sarha re-locates to live with Zaid in Mumbai. One day terrorists strike at a club, killing 20 people, & critically injuring several others. The Police are put on alert, and Zaid is summoned to Police Headquarters to identify a body. To his shock the body turns out to be that of Sarha - who was not a victim but was a suicide-bomber. Before he could get over this shock, Zaid is arrested by Anti-Terrorist Squad Chief Raj Mehra and questioned for several days. The media, his friends, including fellow police officers, already believe that he is guilty. Finally, after several days, he is freed, much to the chagrin of opposition parties who believe that Zaid is being freed because of political reasons. While trying to put his life together, Zaid comes across evidence that Sarha may have had an hand in the killings, and thus intrigued he decides to travel to Nasik to find out what really happened, whether his devout Islamic wife was really a terrorist or the victim of a deep-rooted conspiracy.",6.2,469,https://www.imdb.com/title/tt1090650/
Haqeeqat,0154565,1964,Action,Musical,War,Hindi,Balraj Sahni,Dharmendra,Vijay Anand,NA,NA,NA,"Set against the Sino-Indian War of 1962, the film's main plot concerns a small platoon of Indian soldiers in the hilly terrain of Ladakh who are considered dead but are rescued by Ladakhi tribesmen and by Capt. Bahadur Singh (Dharmendra). They are asked to retreat from their post (chowky) as the Chinese have surrounded them. Capt. Bahadur Singh and his girlfriend Almo (Priya Rajvansh) die holding the Chinese at Bay so that their comrades can retreat to safety. But even the retreating soldiers are heavily outnumbered and give up their lives for the country.",7.8,486,https://www.imdb.com/title/tt0154565/
Love U... Mr. Kalakaar!,1695793,2011,Drama,Romance,NA,Hindi,Tusshar Kapoor,Amrita Rao,Ram Kapoor,Alok Sharma,NA,NA,"He is Sahil..a cartoonist..an artist who derives his inspiration from emotions that come from the sky, from the earth, a scrap of paper, a passing shape, a spider's web...She is Ritu, a management trainee, whose world revolves around debits, credits, turnovers, profits , deadlines..",5.3,444,https://www.imdb.com/title/tt1695793/
Jaal: The Trap,0340178,2003,Action,Drama,Romance,Hindi,Sunny Deol,Tabu,Reema Sen,Arun Shinde,Karam Singh,NA,"Major Amrish Kaul resides in Kashmir, India with his family consisting of his wife, Sudha, a daughter and his unemployed son, Ajay. Ajay meets with an accident on 2 occasions as a result of the carelessness of Neha Pandit, a school teacher. Ajay then takes a liking to her and arranges their meeting at a near-by restaurant. They both gets acquainted with each other with Ajay getting to find out that Neha is a widow. She eventually reciprocates his love and they begin to plan their wedding. Neha's father-in-law, R.K. Sharma is against this relationship at first and refuses to permit the couple to marry but eventually they convince him. A few days later Neha is abducted by a group of terrorists and Jihadis headed by the notorious Juned Afghani who is on a mission to free their leader, Naved Rabhani. Ajay is tasked with kidnapping Anita, the only daughter of India's Home Minister, Bhagwat Saxena, in exchange for the safe return of Neha. Anita is under strict security in New Zealand under Ajay's father's watchful eye. Ajay does manage to successfully carry out this task only to learn that he has been double-crossed.",4.1,474,https://www.imdb.com/title/tt0340178/
Kya Yehi Pyaar Hai,0312883,2002,Drama,Romance,NA,Hindi,Jackie Shroff,Aftab Shivdasani,Ameesha Patel,NA,NA,NA,"Rahul Tiwari secretly love Sandhya Patil for almost 4 years. Using the right opportunity he does express his love to Sandhya only to be told that Sandhya has no similar feelings for him but is only interested in completing her studies and is an abstainer from love and romance due to her drunk and abusive father, Raj Patil alias Raja.",3.9,459,https://www.imdb.com/title/tt0312883/
Tathastu,0444915,2006,Crime,Drama,Thriller,Hindi,Sanjay Dutt,Ameesha Patel,Jaya Prada,Sandeep Sharad Ravade,NA,NA,"Ravi Rajput comes from a poor family, his father was a foreman at a mill, and could not afford to send Ravi to a private school. Ravi studied in Municipal school, got a job in a mill, got married to Saru, who subsequently gave birth to their son, Gaurav. The proud parents watch as Gaurav grows up, starting walking, talking, and feigning illness just to stay home and watch World Cup Cricket. Then their lives are turned upside down when Gaurav faints while playing cricket, they take him to the nearest hospital in Bandra, where Doctors Nita and Sen inform them that their son is dying until and unless he receives a heart transplant, the cost of which is 15 lakhs rupees. A heart is available for transplant but the hospital will perform the surgery after they receive the money in advance. A desperate Ravi turns to his insurance company, which declines to renew his policy; his employer, with whom he has worked for over 11 years, can only sanction Rs.75000/-. When nothing works out and Dr. Sen informs that his son will soon be discharged, Ravi gets a gun, holds 30 people hostage in the hospital until his son gets the necessary surgery. DCP Rane is assigned to this matter and his orders are to kill Ravi and end this drama. But Ravi persists and finally he is told that Gaurav will soon be operated upon. Relieved, Ravi decides to let go of all the hostages, and it is then that he finds out that a surgery is taking place - but not of his son, but of an elderly politician, the President of the ruling political party, Narayan Swami. Watch what impact this news has on Ravi and to what extent he will go to to ensure his son's survival.",4.4,481,https://www.imdb.com/title/tt0444915/
Ghulami,0089201,1985,Action,Drama,NA,Hindi,Dharmendra,Mithun Chakraborty,Naseeruddin Shah,NA,NA,NA,NA,7.2,502,https://www.imdb.com/title/tt0089201/
Bombay to Bangkok,1159917,2008,Comedy,Crime,Romance,Hindi,Shreyas Talpade,Lena Christensen,Vijay Maurya,NA,NA,NA,"Chef Shankar Bhatawdekar lives a middle-classed lifestyle in Mumbai along with his widowed mom. After an encounter with a gangster named Khan, who finds out that Shankar has stolen a valuable item that belonged to his son, Jamal, sends Shankar fleeing to Bangkok, Thailand, along with a team of medical professionals. He manages to conceal the item amongst medical supplies, and poses as a medical professional himself. He blunders his way as a medico, arousing suspicion, especially by Dr. Rati, compounded by the arrival of Khan's son, Jamal, and his romance with Jasmine, a volunteer and a part-time masseuse, She, too, is attracted to him - without knowing that this attraction will soon get her arrested by the Thai Police, leaving Shankar virtually between a rock and a hard place - he must now decide to return to India and be killed by Khan, or stay on in Bangkok and be arrested - this time for theft of medical supplies.",4.6,425,https://www.imdb.com/title/tt1159917/
Hu Tu Tu,0246687,1999,Drama,NA,NA,Hindi,Nana Patekar,Sunil Shetty,Tabu,Rajkishor Choudhary,Eknath Kadam,R.K. Laxman,"Panna is the only daughter of politician Maltidevi. Panna is very critical of her mother, when she decides to separate from her dad, and asked Chief Minister Sawantrao Gadre to move in with them, for political reasons. Sawantrao has been using Maltidevi to win his election, which he does. Malti avenges this humiliation, wins the next election, and has Sawantrao killed. Malti then becomes the new Chief Minister. The main thorns on her side are Bhau, the leader of the downtrodden lower caste dalits, and her very daughter, who is very friendly with Bhau. One day Panna is abducted by Aditya and his group of revolutionaries, and held by them. It is there that Panna learns about the atrocities committed by her mom in the name of politics, and it is then she must decide whether to be loyal to her mom, or take the side of Aditya and the revolutionaries.",6.4,462,https://www.imdb.com/title/tt0246687/
Mr. & Mrs. '55,0048392,1955,Comedy,Musical,Romance,Hindi,Madhubala,Guru Dutt,Lalita Pawar,R.K. Laxman,NA,NA,"A young, naive heiress, in custody of a tough-minded feminist aunt, is forced into a 'marriage of convenience' with an unemployed cartoonist in an attempt to save her millions. However, in the course of her ostensibly married life, she learns the true meaning of marriage and the deep significance of being an Indian wife, much to the dismay of her aunt, who, in adherence to her wayward beliefs, has been trying to instill anti-male sentiment in her niece's ingenuous mind.",7.2,531,https://www.imdb.com/title/tt0048392/
