Barfi!,2082197,2012,Comedy,Drama,Romance,Hindi,Ranbir Kapoor,Priyanka Chopra Jonas,Ileana D'Cruz,Chanchal Bisht,Satish Panchal,Aashish Porwal,"Set in the 1970s in a pretty corner of India, Barfi. is the story of three young people who learn that love can neither be defined nor contained by society's norms of normal and abnormal. Barfi, a hearing and speech impaired boy falls in love with Shruti. In spite of her deep affection for Barfii, Shruti gives into societal and parental pressure to marry a 'normal' man and lead a 'normal' life. Many years later their paths cross once again when Barfi, now in love with Jhilmil, is on the run from the police. Barfi is desperately seeking Jhilmil, who has gone missing. Shruti's realization that Jhilmil is autistic makes her recognize that true love is really blind. Caught in a cat and mouse game, in the search for the girl Barfi loves, Shruti realizes that she is still in love with him.",8.1,78436,https://www.imdb.com/title/tt2082197/
Chak De! India,0871510,2007,Drama,Family,Sport,Hindi,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Dk Dharam,Samar Iqbal,Pankaj Pol,"Kabir Khan (Shahrukh Khan) knows what it's like to come back from the dead. The ex Indian Captain has now come back in the avatar of the Coach of the Indian Women's National Hockey team. A team that exists more on paper and less in reality. The team is a rag-tag bunch of girls with their own agenda. A bunch of girls who have forgotten what it is like to play for the love of the game. Of playing because you want glory for your country. Not because you want a pensioned job or a government flat. They have all forgotten the sharp thrill of just holding the hockey stick, keeping their eyes on the ball and playing for all they are worth. They have played every game but hockey to make sure they get selected every year in the Indian National team. But what does it really mean to play for the Indian National team? To play for India? The girls have never known the thrilling energy of being Team India. Of giving their all to see their country's name on a trophy. But Kabir Khan, once a captain, now forgotten, does. He knows what it takes to get there. And what it means to return empty handed. This time, he wants to make sure that it's different. He knows there are no second chances. Despite his past, he believes that if only the girls played as one, anything would be possible. Because Kabir Khan believes that it is not that we can't win. It's just that we have never believed we can. CHAK DE INDIA is the story of a coach's fight of making his team, Team India by overcoming their diverse backgrounds, by learning to use everything that life hurls on them as a secret weapon. It's a story about honesty, sincerity and integrity. The Film became a cult classic and won its leading man the National Award and put the Indian National Sport ""Hockey"", back on the map.",8.2,77131,https://www.imdb.com/title/tt0871510/
Munna Bhai M.B.B.S.,0374887,2003,Comedy,Drama,NA,Hindi,Sanjay Dutt,Arshad Warsi,Gracy Singh,Abhijit Khatu,Mitali Mahajan,Prashant Vichare,"In India gangsters are called Bhai (brothers). One such Bhai is Munna, who is feared by everyone in Mumbai, a big city in India. He cons his village-based parents into believing that he is a doctor. He gets a shock when he finds out that they are coming to verify for themselves. So he transforms a rooming shanty house into a makeshift hospital, populated by patients, people he beats up. His parents arrive, are pleased, and happy that their son is well settled. They would like him to get married to a doctor's daughter. The marriage is arranged, but before the engagement, the bride's father finds out the truth about Munna, and cancels the marriage. Munna's humiliated parents see the truth for themselves, and hurt, they return home, leaving Munna with a strong desire to hurt the doctor - and force him to let his daughter get married to him - even if it means getting admitted in the medical college - with forged documents!!!",8.1,77367,https://www.imdb.com/title/tt0374887/
Bajrangi Bhaijaan,3863552,2015,Action,Adventure,Comedy,Hindi,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Ambika Acharya,Ramesh Andhale,Vijay Dulguch,"A little mute girl from a Pakistani village gets lost on her return back from a trip to India. In Kurukshetra, she meets Pawan - an ardent devotee of Lord Hanuman - who is in the midst of a challenge posed by his lover's father. In trying to discover the girl's parents, he develops an unshakable bond with her. He tries to get into Pakistan through a path righteous to his conscience and later, accompanied with a smart Pakistani news reporter - a story that captures the imagination of the public in both countries.",8.0,80368,https://www.imdb.com/title/tt3863552/
Dil Chahta Hai,0292490,2001,Comedy,Drama,Romance,Hindi,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Dhananjay Thorat,NA,NA,"Three young men Akash, Sameer, and Siddharth are close friends, but their tastes and characters are completely incompatible. So when Siddharth falls in love with a much older woman, Tara, a woman who has been unsuccessful in keeping her marriage intact as well as alcohol-dependent, widens the rift between the trio, forcing them to part company. Years later, the trio will be re-united, they will be much mature and understanding, but will they still accept Siddharth love for Tara, especially when they themselves have fallen in love with women around their respective ages?",8.1,69322,https://www.imdb.com/title/tt0292490/
Zindagi Na Milegi Dobara,1562872,2011,Comedy,Drama,NA,Hindi,Hrithik Roshan,Farhan Akhtar,Abhay Deol,Chan Canelo,Sergi Durán,Joaquín Jara,NA,8.2,72214,https://www.imdb.com/title/tt1562872/
Dilwale Dulhania Le Jayenge,0112870,1995,Drama,Romance,NA,Hindi,Shah Rukh Khan,Kajol,Amrish Puri,Mohammed Kasim,NA,NA,"When Raj (Shah Rukh Khan) and Simran (Kajol) first met on an inter-rail holiday in Europe, it wasn't exactly Love at first sight but when Simran is taken back to India for an arranged marriage, things change. Encouraged by his father Dharamvir (Anupam Kher), Raj decides to fly down from London to not just win his Bride but her whole family and the blessings of her father Baldev Singh (Amrish Puri).",8.1,66099,https://www.imdb.com/title/tt0112870/
Kal Ho Naa Ho,0347304,2003,Comedy,Drama,Musical,Hindi,Shah Rukh Khan,Preity Zinta,Saif Ali Khan,Ashley Cantley,Mohammed Kasim,Rae Watts,"The film's female lead, Naina (Preity Zinta) narrates the story. Her father had committed suicide years ago which left a deep impact on her heart. Her family is dysfunctional since her mother and grandmother just cannot stop arguing. But when Aman (Shahrukh Khan) arrives next door, the whole gloomy conditions change. Aman infuses life in skeptical and overtly serious Naina, and she falls in love with him. But Aman knows that he cannot marry Naina because of a secret which he cannot divulge to her. So he intends upon setting her up with her best pal Rohit (Saif Ali Khan).",7.9,65957,https://www.imdb.com/title/tt0347304/
Drishyam,4430212,2015,Crime,Drama,Mystery,Hindi,Ajay Devgn,Shriya Saran,Tabu,Rajesh Choudhary,Vishal Hans,Harsh Hede,"Vijay Salgaonkar runs a cable TV network in a remote and hilly village of Goa. He lives a happy life with his wife Nandini and two daughters. A 4th grade dropout & an orphan, Vijay has worked his way towards success with his sheer hard-work & street smartness in order to provide for his family who mean the world to him. A man of few means & needs; Vijay believes life is to be lived simplistically - his wife, while she loves him devoutly, wants Vijay's thrifty & miserly behavior to end and wants the world for her family. If there's one thing that Vijay cannot live without, it is his passion for watching films. Such is his 'filmy' obsession that he doesn't mind staying up all night at his office binging on TV movies! In a bizarre turn of events; a teenage boy goes missing; he is the son of a headstrong & no-nonsense cop; IG Meera Deshmukh and the Salgaonkar family is the prime suspect! Will a humble & middle class man, be able to protect his family from oppression of the powerful? How the family weathers the storm that ensues during the violent investigation forms the rest of the story leading to an unexpected & shocking climax.",8.2,76221,https://www.imdb.com/title/tt4430212/
Gunday,2574698,2014,Action,Drama,Musical,Hindi,Ranveer Singh,Arjun Kapoor,Priyanka Chopra Jonas,A.K. Abdul,Chanchal Bisht,Aashish Porwal,"Based in Calcutta during its most unsettled times in the 1970s, the film deals with the inseparable life of Bikram and Bala. The story of 2 boys, boys who became refugees. Refugees who became gun couriers. Gun couriers who became coal bandits, coal bandits who became Calcutta's most loved, most celebrated, most reckless, most fearless, Most Powerful! A story of two happy-go-lucky renegades who came to be known as... GUNDAY!",2.4,58488,https://www.imdb.com/title/tt2574698/
