Title,IMDB ID,Date of release,Genre1,Genre2,Genre3,Language,Actor1,Actor2,Actor3,Crew1,Crew2,Crew3,Plot summary,IMDB rating,IMDB votes,IMDB URL
Railway Platform,48537,1955,Comedy,Drama,Romance,Hindi,Nalini Jaywant,Sheila Ramani,Johnny Walker,Randhir Mistry,Shyam,NA,"While passing through Andher Nagri, a long-distance train comes to an unexpected halt. Passengers, including Kavi and unemployed Ram, who is traveling with his widowed mother and sister, Vimla, alight to inquire from the Station Master. They are told that due to railways lines being washed away, the train has been delayed for 24 hours. A businessman, Nasibchand, and his wife, quickly make their way to a nearby business, owned by Naina and her widowed father, and rent it for the day. Hoping to profit by selling food and water to stranded passengers, he hires passengers who can cook and draw water from the well and sell it to other passengers. Ram becomes the local hero when he rescues Naina from the well, and she falls in love with him. Little does she know that he will soon make plans to wed Rajkumari Indira - the runaway daughter of Raja Adiraj - a decision that will change everyone's lives - while others, including a Pandit and a thief, prepare to carry out their very own respective agendas.",7.2,28,https://www.imdb.com/title/tt0048537/
Maa Aur Mamta,175874,1970,Drama,NA,NA,Hindi,Nutan,Ashok Kumar,Nirupa Roy,NA,NA,NA,"Father Henry (Rehman) entrusts a newly-born infant in the care of an unwed Maya (Nutan), leaving her to explain the presence of the child. She is literally thrown out of the village and runs away to Bombay. There she is taken care of by a kind-hearted Muslim taxi-driver (Jayant). Years later, the child grows up to be called Ram (Jeetendra), but the question haunting everyone's mind is who is Ram's biological father?",7.4,34,https://www.imdb.com/title/tt0175874/
Char Dervesh,440196,1964,Adventure,Fantasy,NA,Hindi,Feroz Khan,Sayeeda Khan,Mukri,NA,NA,NA,"Khamer Bhakt is a handsome young man, who lives with only motive in mind - trouble. And he does negatively effect lives of his two brothers, Karim and Rahim, as well as others in the community. One day he ventures into the private chambers of the Shehzadi Nargis Banu, and incurs the wrath of the palace king and his guards. But Nargis has him forgiven, for both have fallen in love with each other. She announces in the palace that she will marry a man, who will bring back her missing sister, Hamida, and Khamer accepts the challenge. He goes through an evil magician, and does rescue Hamida, but ends up making a promise to Marjina, a shape-changing snake, that he will only love and marry Hamida, and fulfill her every wish, or else he will be cursed for life. The palace and it's people are overjoyed to see Hamida back, and arrangements are made for Nargis to get married to Khamer. Khamer now realizes that if he marries Nargis, he will be cursed; and if he marries Hamida, then he will break his vow to Nargis, and so the ultimate choice is on Khamer, as he has to decide what is best for him.",6.5,25,https://www.imdb.com/title/tt0440196/
Sun Sajna,430647,1982,Drama,Family,Romance,Hindi,Mithun Chakraborty,Ranjeeta Kaur,Iftekhar,NA,NA,NA,"On the scenic mountain town of Madhopur lives a lively and vivacious young woman named Basanti, who runs a business ""Basanti's Shop"" by selling novelties and dolls, along with her aged father. She meets Raj Kumar, a singer, during one of his shows at the nearby Hotel Tin Min, and both fall in love. They plan to get married, but before that Raj has to perform a show in Bombay, as well as bring his mother over to introduce her to Basanti. Raj never returns. A close friend of the family, Gopi, goes to the city to locate Raj, as Basanti's health is fast deteriorating. He finds Raj singing in a hotel room surrounded by scores of female fans. Enraged at this betrayal, he later storms into Raj's hotel room - only to find out the devastating truth as to why Raj chose to stay away from Basanti.",6.3,25,https://www.imdb.com/title/tt0430647/
Hum Tere Ashiq Hain,378071,1979,Drama,NA,NA,Hindi,Jeetendra,Hema Malini,Amjad Khan,Y.L. Bagchi,Manas Biswas,Dadoo Mistry,"Recently widowed Thakur Vikram Singh left India the same time the British did along with his son, Anand, for England. Years later, Anand has grown up to be a doctor and travels to Bombay, India, to work together with Dr. Pradhan for six months, thereafter he must return home and get married to Lalita, who is the daughter of Thakur's Legal Advisor, Jackson. Six months go by and Anand does not return, the Thakur, along with Jackson and Lalita, also travel to India to bring him back. This is where they find out that Anand has been romancing Rajkumari Sanyogta and both are expected to get married soon. The Thakur is pleased with Anand's choice and gives his blessings to the young couple. Watch what happens when the Thakur finds out that Rajkumari is in fact a flower-selling belle from his hometown of Balrampur, and Anand may not be his son after all.",6.4,29,https://www.imdb.com/title/tt0378071/
Amaanat,109091,1994,Action,Drama,NA,Hindi,Sanjay Dutt,Akshay Kumar,Heera Rajgopal,Anand Kalekar,NA,NA,"Vijay lives in village where people do not have enough water to drink ,Vijay decides to go to Bombay and purchase tube wells which will bring water to his village upon reaching Bombay Vijay's money gets stolen and he his left helpless one night he comes to aid of Amar whose beaten by goons soon they become friends and Vijay starts living with Amar,but what will happen when Vijay will find out that Amar is the same person who robbed his money.",4.7,569,https://www.imdb.com/title/tt0109091/
Love in Bombay,2306635,1974,Drama,Romance,NA,NA,Joy Mukherjee,Waheeda Rehman,Zeenat Aman,NA,NA,NA,Badal is a diver whose life revolves around his Horse Cheetah a captain of a ship notices him in mid sea an offers him work.The ship is carrying its owner Mehra and his daughter Preeti who has a tiff with Badal an is held captive for misbehaving with Preeti and her fiance Roshan.One night the ship gets stuck in the storm and Preeti is saved an bought to the shore of an Gilbert island by Badal on the island Mehra and captain wanted to recover hidden treasure and Badal was hired for same purpose.But Captain betrays Mehra and the tribal attack everyone leaving only Preeti and Badal on the island they fall in love and Roshan returns back to take Preeti leaving Badal to die on island.Badal then reaches Bombay in search of Preeti and comes across Ganpatrao who promises him help Badal reaches Preeti's house but Mr Mehra tells him that in order to marry her he should first earn Five Lakh's in three months which he accepts.,6,25,https://www.imdb.com/title/tt2306635/
Preetam,14045622,2021,Romance,NA,NA,Marathi,Pranav Raorane,Nakshatra Medhekar,Upendra Limaye,NA,NA,NA,NA,7.6,30,https://www.imdb.com/title/tt14045622/
Sangram,244182,1950,Drama,NA,NA,Hindi,Ashok Kumar,Nalini Jaywant,Shashi Kapoor,NA,NA,NA,NA,6.7,36,https://www.imdb.com/title/tt0244182/
Anjane Mein,389759,1978,Drama,Family,NA,Hindi,Rishi Kapoor,Neetu Singh,Nirupa Roy,Abu Hassan Mistry,NA,NA,NA,6.9,44,https://www.imdb.com/title/tt0389759/
