Title,IMDB ID,Date of release,Genre1,Genre2,Genre3,Language,Actor1,Actor2,Actor3,Crew1,Crew2,Crew3,Plot summary,IMDB rating,IMDB votes,IMDB URL
Chak De! India,871510,2007.0,Drama,Family,Sport,Hindi,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Dk Dharam,Samar Iqbal,Pankaj Pol,"Kabir Khan (Shahrukh Khan) knows what it's like to come back from the dead. The ex Indian Captain has now come back in the avatar of the Coach of the Indian Women's National Hockey team. A team that exists more on paper and less in reality. The team is a rag-tag bunch of girls with their own agenda. A bunch of girls who have forgotten what it is like to play for the love of the game. Of playing because you want glory for your country. Not because you want a pensioned job or a government flat. They have all forgotten the sharp thrill of just holding the hockey stick, keeping their eyes on the ball and playing for all they are worth. They have played every game but hockey to make sure they get selected every year in the Indian National team. But what does it really mean to play for the Indian National team? To play for India? The girls have never known the thrilling energy of being Team India. Of giving their all to see their country's name on a trophy. But Kabir Khan, once a captain, now forgotten, does. He knows what it takes to get there. And what it means to return empty handed. This time, he wants to make sure that it's different. He knows there are no second chances. Despite his past, he believes that if only the girls played as one, anything would be possible. Because Kabir Khan believes that it is not that we can't win. It's just that we have never believed we can. CHAK DE INDIA is the story of a coach's fight of making his team, Team India by overcoming their diverse backgrounds, by learning to use everything that life hurls on them as a secret weapon. It's a story about honesty, sincerity and integrity. The Film became a cult classic and won its leading man the National Award and put the Indian National Sport ""Hockey"", back on the map.",8.2,77145.0,https://www.imdb.com/title/tt0871510/
Munna Bhai M.B.B.S.,374887,2003.0,Comedy,Drama,,Hindi,Sanjay Dutt,Arshad Warsi,Gracy Singh,Abhijit Khatu,Mitali Mahajan,Prashant Vichare,"In India gangsters are called Bhai (brothers). One such Bhai is Munna, who is feared by everyone in Mumbai, a big city in India. He cons his village-based parents into believing that he is a doctor. He gets a shock when he finds out that they are coming to verify for themselves. So he transforms a rooming shanty house into a makeshift hospital, populated by patients, people he beats up. His parents arrive, are pleased, and happy that their son is well settled. They would like him to get married to a doctor's daughter. The marriage is arranged, but before the engagement, the bride's father finds out the truth about Munna, and cancels the marriage. Munna's humiliated parents see the truth for themselves, and hurt, they return home, leaving Munna with a strong desire to hurt the doctor - and force him to let his daughter get married to him - even if it means getting admitted in the medical college - with forged documents!!!",8.1,77392.0,https://www.imdb.com/title/tt0374887/
Bajrangi Bhaijaan,3863552,2015.0,Action,Adventure,Comedy,Hindi,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Ambika Acharya,Ramesh Andhale,Vijay Dulguch,"A little mute girl from a Pakistani village gets lost on her return back from a trip to India. In Kurukshetra, she meets Pawan - an ardent devotee of Lord Hanuman - who is in the midst of a challenge posed by his lover's father. In trying to discover the girl's parents, he develops an unshakable bond with her. He tries to get into Pakistan through a path righteous to his conscience and later, accompanied with a smart Pakistani news reporter - a story that captures the imagination of the public in both countries.",8.0,80388.0,https://www.imdb.com/title/tt3863552/
Dil Chahta Hai,292490,2001.0,Comedy,Drama,Romance,Hindi,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Dhananjay Thorat,,,"Three young men Akash, Sameer, and Siddharth are close friends, but their tastes and characters are completely incompatible. So when Siddharth falls in love with a much older woman, Tara, a woman who has been unsuccessful in keeping her marriage intact as well as alcohol-dependent, widens the rift between the trio, forcing them to part company. Years later, the trio will be re-united, they will be much mature and understanding, but will they still accept Siddharth love for Tara, especially when they themselves have fallen in love with women around their respective ages?",8.1,69339.0,https://www.imdb.com/title/tt0292490/
Zindagi Na Milegi Dobara,1562872,2011.0,Comedy,Drama,,Hindi,Hrithik Roshan,Farhan Akhtar,Abhay Deol,Chan Canelo,Sergi Durán,Joaquín Jara,,8.2,72235.0,https://www.imdb.com/title/tt1562872/
Dilwale Dulhania Le Jayenge,112870,1995.0,Drama,Romance,,Hindi,Shah Rukh Khan,Kajol,Amrish Puri,Mohammed Kasim,,,"When Raj (Shah Rukh Khan) and Simran (Kajol) first met on an inter-rail holiday in Europe, it wasn't exactly Love at first sight but when Simran is taken back to India for an arranged marriage, things change. Encouraged by his father Dharamvir (Anupam Kher), Raj decides to fly down from London to not just win his Bride but her whole family and the blessings of her father Baldev Singh (Amrish Puri).",8.1,66114.0,https://www.imdb.com/title/tt0112870/
Kal Ho Naa Ho,347304,2003.0,Comedy,Drama,Musical,Hindi,Shah Rukh Khan,Preity Zinta,Saif Ali Khan,Ashley Cantley,Mohammed Kasim,Rae Watts,"The film's female lead, Naina (Preity Zinta) narrates the story. Her father had committed suicide years ago which left a deep impact on her heart. Her family is dysfunctional since her mother and grandmother just cannot stop arguing. But when Aman (Shahrukh Khan) arrives next door, the whole gloomy conditions change. Aman infuses life in skeptical and overtly serious Naina, and she falls in love with him. But Aman knows that he cannot marry Naina because of a secret which he cannot divulge to her. So he intends upon setting her up with her best pal Rohit (Saif Ali Khan).",7.9,65968.0,https://www.imdb.com/title/tt0347304/
Drishyam,4430212,2015.0,Crime,Drama,Mystery,Hindi,Ajay Devgn,Shriya Saran,Tabu,Rajesh Choudhary,Vishal Hans,Harsh Hede,"Vijay Salgaonkar runs a cable TV network in a remote and hilly village of Goa. He lives a happy life with his wife Nandini and two daughters. A 4th grade dropout & an orphan, Vijay has worked his way towards success with his sheer hard-work & street smartness in order to provide for his family who mean the world to him. A man of few means & needs; Vijay believes life is to be lived simplistically - his wife, while she loves him devoutly, wants Vijay's thrifty & miserly behavior to end and wants the world for her family. If there's one thing that Vijay cannot live without, it is his passion for watching films. Such is his 'filmy' obsession that he doesn't mind staying up all night at his office binging on TV movies! In a bizarre turn of events; a teenage boy goes missing; he is the son of a headstrong & no-nonsense cop; IG Meera Deshmukh and the Salgaonkar family is the prime suspect! Will a humble & middle class man, be able to protect his family from oppression of the powerful? How the family weathers the storm that ensues during the violent investigation forms the rest of the story leading to an unexpected & shocking climax.",8.2,76243.0,https://www.imdb.com/title/tt4430212/
Gunday,2574698,2014.0,Action,Drama,Musical,Hindi,Ranveer Singh,Arjun Kapoor,Priyanka Chopra Jonas,A.K. Abdul,Chanchal Bisht,Aashish Porwal,"Based in Calcutta during its most unsettled times in the 1970s, the film deals with the inseparable life of Bikram and Bala. The story of 2 boys, boys who became refugees. Refugees who became gun couriers. Gun couriers who became coal bandits, coal bandits who became Calcutta's most loved, most celebrated, most reckless, most fearless, Most Powerful! A story of two happy-go-lucky renegades who came to be known as... GUNDAY!",2.4,58489.0,https://www.imdb.com/title/tt2574698/
Queen,3588218,2014.0,Short,Musical,Romance,English,Ben Fine,Justin Sean Kelly,Antonevia Ocho-Coultes,,,,"In this reversal of Henry Purcell's famous 1689 aria, 'Dido's Lament,' Queen Dido kills Aeneas by biting him to death, instead of killing herself, as Virgil would have it. Here, Queen Dido is an opera singer from Trinidad who is inspired by the post-coital cannibalism of praying mantises. She sings the famous lament to lure Aeneas, a New York graffiti artist, to her industrial boudoir. Once Aeneas arrives, he is summoned by a strange, giggling and sleepy guard who instructs him to lay down on the Shag Carpet of Death. Aeneas awaits his doom, almost desiring it. When Queen Dido arrives they begin to have sex, an enjoyment that ends in tragedy as Queen Dido carries out her insect-inspired desire.",,,https://www.imdb.com/title/tt3588218/
Children of Heaven,118849,1997.0,Drama,Family,Sport,Persian,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,,,,"Zahra's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zahra until they come up with an idea: they will share one pair of shoes, Ali's. School awaits. Will the plan succeed?",8.3,69628.0,https://www.imdb.com/title/tt0118849/
Bhaag Milkha Bhaag,2356180,2013.0,Biography,Drama,Sport,Hindi,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Paresh Mestry,Namitha Ramaiah,Pankaj Sharma,"The true story of the ""Flying Sikh"" - world champion runner and Olympian Milkha Singh -- who overcame the massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes.",8.2,64359.0,https://www.imdb.com/title/tt2356180/
Kahaani,1821480,2012.0,Mystery,Thriller,,Hindi,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,,,,"Kolkata is abuzz with the preparations for the annual Durga Puja festival, as seven months pregnant Vidya Bagchi steps off the airplane from London. Her first stop is the local police station to file a missing person report. Weeks ago, her husband Arnab arrived in India for a job assignment. The first two weeks, they talked daily on the phone, and then without explanation, his calls stopped. Everywhere Vidya turns, no one can remember Arnab. There is no trace of him at the guest house or his workplace. But Vidya will not give up her search. Somewhere in Kolkata she will discover the dangerous truth.",8.1,60081.0,https://www.imdb.com/title/tt1821480/
Ghajini,1166100,2008.0,Action,Drama,Mystery,Hindi,Aamir Khan,Asin Thottumkal,Jiah Khan,Juhi Shekhar,,,"Medical student, Sunita, is driven by curiosity to study the case of Sanjay Singhania, who is afflicted with short-term memory loss. She runs into him, befriends him, and finds out that he is out to kill a seemingly benevolent citizen, Ghajini Dharmatma. After warning the latter of the impending danger, she subsequently comes across a number of diaries written by Sanjay and attempts to put together a jigsaw puzzle as to how a successful and wealthy businessman became a crazed recluse, who re-lives his past through tattoos on his body, notes and Polaroid photographs on the wall of his Hiranandani Complex flat, and his sole obsession of carrying out his deadly mission - little knowing that Ghajini and his goons are out to erase every bit of evidence he has gathered and thus ensure that he ends up remembering nothing.",7.3,58380.0,https://www.imdb.com/title/tt1166100/
Andhadhun,8108198,2018.0,Crime,Drama,Music,Hindi,Ayushmann Khurrana,Tabu,Radhika Apte,Pranay Chaure,Priya Ju,Shashank Nigam,Akash a blind pianist is preparing for a London concert.Sophie's scooter bumps into Akash and upon finding he a pianist she takes him to her restaurant Franco's run by her father and offers him a job.Akash meets 70s actor Pramod Sinha at the restaurant who asks him to do a private concert of his songs at his residence to surprise his wife Simi. Next Day upon reaching his house a shocking surprise is waiting for Akash.,8.2,81422.0,https://www.imdb.com/title/tt8108198/
Hera Pheri,242519,2000.0,Action,Comedy,Crime,Hindi,Akshay Kumar,Sunil Shetty,Paresh Rawal,,,,"Baburao is a landlord in India, who is very near-sighted, and always in financial trouble. He has a tenant named Raja, who has not paid his rent for several months. He also has anther tenant named Shyam, who has come to the city to look for a job in his late father's place, but is unable to find employment. The three men quarrel amongst themselves frequently. Then one day, the three men get a phone call from a kidnapper named Kabira, and decide to make use of this phone call to overcome their financial problems - pretend to be the real kidnappers, increase the ransom amount, keep the incremental amount for themselves, and then give the original ransom demanded to Kabira. Will they get away with this idea?",8.2,61468.0,https://www.imdb.com/title/tt0242519/
Airlift,4387040,2016.0,Drama,History,,Hindi,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Anuprita Ahale,Ruchipujara,,"It is in this scenario that Ranjit Katyal (played by Akshay Kumar), a wealthy and powerful Indian businessman, who has always seen himself as a Kuwaiti, rather than an Indian, realizes that he no longer wields any influence on the Iraqis, and that he and his family are in as much danger as anyone else. Ranjit unknowingly becomes the man who all 170,000 Indians look up to for getting them out safely from Kuwait. Airlift is the story of Indians stranded in Kuwait during this traumatic time. A story of how they, with the help of Ranjit Katyal, managed to survive the Iraqi invasion, and against all odds traveled a thousand kilometers across the border into Amman, Jordan. From Amman, 170,000 Indians were brought home by the largest and the most successful evacuation ever attempted by any country, in the history of the world. Over 59 days, the Indian government systematically flew over 488 Air India commercial flights into a war zone to evacuate all 170,000 Indians and safely bring them back home. Airlift is an uplifting and entertaining edge-of-the-seat thriller and is the story of the biggest ever human evacuation in the history of mankind.",8.0,54733.0,https://www.imdb.com/title/tt4387040/
Baby 2.0,13746894,2019.0,Drama,Reality-TV,,,,,,,,,,,,https://www.imdb.com/title/tt13746894/
Jab Tak Hai Jaan,2176013,2012.0,Drama,Romance,,Hindi,Shah Rukh Khan,Katrina Kaif,Anupam Kher,Christopher Arnold,Priyanka Grover,Richard Hawkyard,"Samar Anand, a hard working young immigrant in the city of London, glimpses upon the love of his life, a gorgeous angelic looking girl, (Katrina Kaif). They meet and their bond blossoms into love with time spent together. Samar however meets with a serious accident, and Meera vows to God she will leave Samar forever if he allowed him to live again, their love affair ends as quickly as it began. Samar angered with God and fueled with his love for Meera, declares War against Him. Samar Anand vows to walk into the jaws of death everyday as a challenge to God to keep him alive. He becomes Major Samar Anand in the Indian Army, a bomb disposal chief, defusing bombs without ever wearing a bomb suit. It is here that Major Samar also known as 'the man who cannot die' meets Akira (Anushka Sharma), a spirited vibrant, 'today's generation' Discovery Channel correspondent with a WTF attitude. Aware of Samar Anand's story, Akira is determined to unravel the mystery of love in this intriguing story, whilst herself falling hopelessly in love with Samar. Is Akira able to unravel the mysteries of love, does Samar win the battle or then does God surrender to his love?",6.7,52838.0,https://www.imdb.com/title/tt2176013/
Sholay,73707,1975.0,Action,Adventure,Comedy,Hindi,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,,,,"Sholay means embers in Hindi. In this particular movie, a Police Officer, who's family was killed by a bandit named Gabbar Singh, decides to fight fire with fire and recruits two convicts, Jai and Veeru to capture Gabbar. He approaches them in jail, puts the proposal in front of them, and they agree to bring in Gabbar Singh alive - for a hefty price. After their discharge from jail, they travel by train to the village where the Police Officer lives - now with only his widowed daughter-in-law. The three band together to fight one of the most elusive and dreaded bandits of all time. Will the two ex-cons be able to bring Gabbar alive to the Police Officer?",8.2,53393.0,https://www.imdb.com/title/tt0073707/
Don 2,1285241,2011.0,Action,Crime,Thriller,Hindi,Shah Rukh Khan,Priyanka Chopra Jonas,Boman Irani,Abdul Quadir Amin,Zainab Badani,Markus Bendler,"Having conquered the Asian underworld, Don (Shah Rukh Khan) now has his sights set on European domination. In his way are the bosses of the existing European underworld and all law enforcement agencies. The action shifts from Kuala Lumpur to Berlin as Don must avoid assassination or arrest, whichever comes first, in order for his plan to succeed.",7.1,51048.0,https://www.imdb.com/title/tt1285241/
Haider,3390572,2014.0,Action,Crime,Drama,Hindi,Tabu,Shahid Kapoor,Shraddha Kapoor,Pallavi Pethkar,,,"Vishal Bhardwaj's adaptation of William Shakespeare's 'Hamlet', Haider - a young man returns home to Kashmir on receiving news of his father's disappearance. Not only does he learn that security forces have detained his father for harboring militants, but that his mother is in a relationship with his very own uncle. Intense drama follows between mother and son as both struggle to come to terms with news of his father's death. Soon Haider learns that his uncle is responsible for the gruesome murder, what follows is his journey to avenge his father's death.",8.1,52089.0,https://www.imdb.com/title/tt3390572/
Special 26,2377938,2013.0,Crime,Drama,Thriller,Hindi,Akshay Kumar,Anupam Kher,Manoj Bajpayee,Dhiristi Bakshi,Sanket Ghag,Ashwini Kale,"Based on real life incidents that occurred in India in 1987-88, the storyline revolves around a group of con artists who pulled off many clever robberies during 1980s, and robbed famous businessmen and politicians by pretending to be the CBI or Income tax officers and conducting raids. On the pretext of conducting raids they would take away all the black money hoarded by them.",8.0,53396.0,https://www.imdb.com/title/tt2377938/
Andaz Apna Apna,109117,1994.0,Action,Comedy,Romance,Hindi,Aamir Khan,Salman Khan,Raveena Tandon,Kailash Pandit,Menon Mohd. Yusuf,,"Amar and Prem are two rivals who belonging to middle-class families with no scope of future advancement. Both individually, without the knowledge of the other decide to take matters into their hands and find ways to get rich quickly. Chaos and acrimony result when both find each other at loggerheads when both arrive to win the hand of the daughter of multi-millionaire Ram Gopal Bajaj amidst considerable upheavals when Shyam, the twin brother of Ram, decides to do away with Ram and assume his identity and thus take over the estate of the Bajaj family.",8.1,51538.0,https://www.imdb.com/title/tt0109117/
OMG: Oh My God!,2283748,2012.0,Comedy,Drama,Fantasy,Hindi,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,,,,"Oh my God is a story about a person (Kanji Lalji Mehta) who loses his shop in an earthquake. The shop is located an area in Mumbai, known as chor bazaar. Kanji is a person, who even does not fear God and even puts God on ill usage, for his benefit. After disaster, Kanji lodges complaint against God as he does not get benefit of insurance due to act of God. The notice is sent to all bigger baba's. He first goes through a lot of resistance, but eventually people turn out in his favor. People from other religions also join him. Thus notice is sent to every religious head. Later its shown how Kanji wins and people who have lodged complaint against disaster caused get benefited. Its also shown how dongis are bought into vision of normal people.",8.1,54665.0,https://www.imdb.com/title/tt2283748/
Veer-Zaara,420332,2004.0,Drama,Family,Musical,Hindi,Shah Rukh Khan,Preity Zinta,Rani Mukerji,Braj Bhushan,Renu Chainani,Sudharkar Gaud,"Squadron Leader Veer Pratap Singh (Shah Rukh Khan) is a rescue pilot with the Indian Air Force. In the line of duty he comes across a stranded Zaara (Preity Zinta) - a girl from Pakistan who has come to India to fulfill her surrogate mothers dying wish. Veer saves her life and his life is never the same again. Twenty two years later Saamia Siddiqui (Rani Mukerji), a Pakistani human rights lawyer on her first case, finds herself face to face with an ageing Veer Pratap Singh. He has languished in a Pakistan jail cell for 22 years and has not spoken to anyone all these years. And no one knows why. Her mission is to discover the truth about Veer and see to it that justice is served. VEER-ZAARA is a saga of love, separation, courage and sacrifice. A love that is divine, a love that is whole-hearted, a love that is completely consuming, a love that grows with separation and deepens with sacrifice. A love that is an inspiration - and will remain a legend forever.",7.8,50891.0,https://www.imdb.com/title/tt0420332/
Chennai Express,2112124,2013.0,Action,Adventure,Comedy,Hindi,Deepika Padukone,Shah Rukh Khan,Sathyaraj,Swapnil Bhalerao,Sagar Desai,Sukant Gantayat,"Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route, he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India, an unanticipated drive awaits them.",6.1,51198.0,https://www.imdb.com/title/tt2112124/
Kuch Kuch Hota Hai,172684,1998.0,Comedy,Drama,Musical,Hindi,Shah Rukh Khan,Kajol,Rani Mukerji,Mohammed Kasim,Shakir,,"Rahul Khanna and Anjali Sharma were best friends at college. Anjali realizes that she has fallen in love with Rahul but she's too late because Rahul has already fallen for Tina Malhotra. Heartbroken, Anjali leaves the city. Tina and Rahul get married and soon Tina becomes pregnant, giving birth to a daughter which they call Anjali. Due to complications during pregnancy, Tina passes away. Anjali is brought up by her father, and each year on her birthday he allows his daughter to read one of her mother's letters. Through these letters she learns that her mother (Tina) knew that another Anjali was in love with Rahul, and vows to bring them together again.",7.6,50143.0,https://www.imdb.com/title/tt0172684/
The Lunchbox,2350496,2013.0,Drama,Romance,,Hindi,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,,,,"The film, set in Mumbai, revolves around a mistaken delivery by the Dabbawalas (lunchbox service) of Mumbai, which leads to a relationship between Saajan, a lonely widower close to retirement, and Ila, an unhappy housewife, as they start exchanging notes through the daily lunchbox.",7.8,53044.0,https://www.imdb.com/title/tt2350496/
Jab We Met,1093370,2007.0,Comedy,Drama,Romance,Hindi,Shahid Kapoor,Kareena Kapoor,Tarun Arora,Ramesh Andhale,Tariq Umar Khan,,"Depressed after the passing of his father (Dharamraj) and a ditching by his gorgeous girlfriend, Mumbai-based businessman Aditya Kashyap takes a BEST bus, goes to the Chatrapati Shivaji Train Terminus, and boards a train. There he meets Geet Kaur Dhillon, who is returning home to Bhatinda, and who pays for his ticket. At Bar Nagar, he decides to leave, but she follows him, missing her train. They manage to get a ride to Ratlam, miss the train again, but eventually make it to Bhatinda. Once there, he gets to meet her family, her pretty sister Roop as well as her to-be betrothed, Manjeet Singh Mann. Before the engagement can be finalized, she manages to convince her fiancé that she wants to marry Aditya. Before Aditya can take stock of these new developments, she elopes with him - not to get married but to re-locate to Manali where her true love, Anshuman, awaits, and to whom she hopes to get married.",7.9,49917.0,https://www.imdb.com/title/tt1093370/
Sanju,6452574,2018.0,Biography,Comedy,Drama,Hindi,Ranbir Kapoor,Paresh Rawal,Manisha Koirala,Apurva Bhagat,Sean Kehoe,Purvisha Peshwe,"Few lives in our times are as dramatic and enigmatic as the saga of Sanjay Dutt. Coming from a family of cinema legends, he himself became a film star, and then saw dizzying heights and darkest depths: adulation of die-hard fans, unending battles with various addictions, brushes with the underworld, prison terms, loss of loved ones, and the haunting speculation that he might or might not be a terrorist. Sanju is in turns a hilarious and heartbreaking exploration of one man's battle against his own wild self and the formidable external forces trying to crush him. It depicts the journey of a man through everything that life can throw at him. Some true stories leave you thinking ""did this really happen?"" This is one such unbelievable story that happens to be true.",7.7,50471.0,https://www.imdb.com/title/tt6452574/
